bbref_name,bbref_id,nba_name,nba_id
Precious Achiuwa,achiupr01,Precious Achiuwa,1630173
Steven Adams,adamsst01,Steven Adams,203500
Bam Adebayo,adebaba01,Bam Adebayo,1628389
Ochai Agbaji,agbajoc01,Ochai Agbaji,1630534
Santi Aldama,aldamsa01,Santi Aldama,1630583
Nickeil Alexander-Walker,alexani01,Nickeil Alexander-Walker,1629638
Grayson Allen,allengr01,Grayson Allen,1628960
Jarrett Allen,allenja01,Jarrett Allen,1628386
Jose Alvarado,alvarjo01,Jose Alvarado,1630631
Kyle Anderson,anderky01,Kyle Anderson,203937
Giannis Antetokounmpo,antetgi01,Giannis Antetokounmpo,203507
Thanasis Antetokounmpo,antetth01,Thanasis Antetokounmpo,203648
Cole Anthony,anthoco01,Cole Anthony,1630175
Ryan Arcidiacono,arcidry01,Ryan Arcidiacono,1627853
Deni Avdija,avdijde01,Deni Avdija,1630166
Deandre Ayton,aytonde01,Deandre Ayton,1629028
Udoka Azubuike,azubuud01,Udoka Azubuike,1628962
Marvin Bagley III,baglema01,Marvin Bagley III,1628963
LaMelo Ball,ballla01,LaMelo Ball,1630163
Mo Bamba,bambamo01,Mo Bamba,1628964
Paolo Banchero,banchpa01,Paolo Banchero,1631094
Desmond Bane,banede01,Desmond Bane,1630217
Dalano Banton,bantoda01,Dalano Banton,1630625
Dominick Barlow,barlodo01,Dominick Barlow,1631230
Harrison Barnes,barneha02,Harrison Barnes,203084
Scottie Barnes,barnesc01,Scottie Barnes,1630567
RJ Barrett,barrerj01,RJ Barrett,1629628
Will Barton,bartowi01,Will Barton,203115
Nicolas Batum,batumni01,Nicolas Batum,201587
Darius Bazley,bazleda01,Darius Bazley,1629647
Bradley Beal,bealbr01,Bradley Beal,203078
Malik Beasley,beaslma01,Malik Beasley,1627736
MarJon Beauchamp,beaucma01,MarJon Beauchamp,1630699
Patrick Beverley,beverpa01,Patrick Beverley,201976
Saddiq Bey,beysa01,Saddiq Bey,1630180
Khem Birch,birchkh01,Khem Birch,203920
Goga Bitadze,bitadgo01,Goga Bitadze,1629048
Bismack Biyombo,biyombi01,Bismack Biyombo,202687
Buddy Boeheim,boehebu01,Buddy Boeheim,1631205
Bol Bol,bolbo01,Bol Bol,1629626
Leandro Bolmaro,bolmale01,Leandro Bolmaro,1630195
Devin Booker,bookede01,Devin Booker,1626164
Brandon Boston Jr.,bostobr01,Brandon Boston Jr.,1630527
Chris Boucher,bouchch01,Chris Boucher,1628449
James Bouknight,bouknja01,James Bouknight,1630547
Jamaree Bouyea,bouyeja01,Jamaree Bouyea,1631123
Tony Bradley,bradlto01,Tony Bradley,1628396
Malaki Branham,branhma01,Malaki Branham,1631103
Jarrell Brantley,brantja01,Jarrell Brantley,1629714
Christian Braun,braunch01,Christian Braun,1631128
Mikal Bridges,bridgmi01,Mikal Bridges,1628969
Oshae Brissett,brissos01,Oshae Brissett,1629052
Malcolm Brogdon,brogdma01,Malcolm Brogdon,1627763
Dillon Brooks,brookdi01,Dillon Brooks,1628415
Bruce Brown,brownbr01,Bruce Brown,1628971
Greg Brown III,browngr01,Greg Brown III,1630535
Jaylen Brown,brownja02,Jaylen Brown,1627759
Kendall Brown,brownke03,Kendall Brown,1631112
Moses Brown,brownmo01,Moses Brown,1629650
Sterling Brown,brownst02,Sterling Brown,1628425
Troy Brown Jr.,browntr01,Troy Brown Jr.,1628972
Jalen Brunson,brunsja01,Jalen Brunson,1628973
Thomas Bryant,bryanth01,Thomas Bryant,1628418
Reggie Bullock,bullore01,Reggie Bullock,203493
Alec Burks,burksal01,Alec Burks,202692
Deonte Burton,burtode02,Deonte Burton,1629126
Jared Butler,butleja02,Jared Butler,1630215
Jimmy Butler,butleji01,Jimmy Butler,202710
Jamal Cain,cainja01,Jamal Cain,1631288
Kentavious Caldwell-Pope,caldwke01,Kentavious Caldwell-Pope,203484
Facundo Campazzo,campafa01,Facundo Campazzo,1630267
Clint Capela,capelca01,Clint Capela,203991
Vernon Carey Jr.,careyve01,Vernon Carey Jr.,1630176
Jevon Carter,carteje01,Jevon Carter,1628975
Michael Carter-Williams,cartemi01,Michael Carter-Williams,203487
Wendell Carter Jr.,cartewe01,Wendell Carter Jr.,1628976
Alex Caruso,carusal01,Alex Caruso,1627936
Justin Champagnie,champju01,Justin Champagnie,1630551
Julian Champagnie,champju02,Julian Champagnie,1630577
Kennedy Chandler,chandke01,Kennedy Chandler,1631113
Josh Christopher,chrisjo01,Josh Christopher,1630528
Max Christie,chrisma02,Max Christie,1631108
Brandon Clarke,clarkbr01,Brandon Clarke,1629634
Jordan Clarkson,clarkjo01,Jordan Clarkson,203903
Nic Claxton,claxtni01,Nic Claxton,1629651
Amir Coffey,coffeam01,Amir Coffey,1629599
John Collins,collijo01,John Collins,1628381
Zach Collins,colliza01,Zach Collins,1628380
Chance Comanche,comanch01,Chance Comanche,1628435
Mike Conley,conlemi01,Mike Conley,201144
Pat Connaughton,connapa01,Pat Connaughton,1626192
Xavier Cooks,cooksxa01,Xavier Cooks,1641645
Robert Covington,covinro01,Robert Covington,203496
Torrey Craig,craigto01,Torrey Craig,1628470
